filename,Solute,Formula,Group,MW,deltaGhyd,deltaGsolv,logP,logP error
0121met,4-methylpyridine,H7C6N1,Aromatic Amine,93.1,-4.94,-6.6,1.22,0.1
0122Nme,N-methylaniline,H9C7N1,Aromatic Amine,107.2,-4.68,-6.94,1.66,0.15
0126eth,acetonitrile,H3C2N1,Nitrile,41.1,-3.89,-3.15,-0.34,0.05
0127pro,propionitrile,H5C3N1,Nitrile,55.1,-3.85,-3.66,0.16,0.05
0128butb,butanonitrile,H7C4N1,Nitrile,69.1,-3.64,-4.25,0.6,0.1
0129ben,benzonitrile,H5C7N1,Nitrile,103.1,-4.1,-6.09,1.56,0.05
0130nit,nitroethane,H5C2N1O2,Nitro,75.1,-3.71,-3.93,0.18,0.1
0131nit,1-nitropropane,H7C3N1O2,Nitro,89.1,-3.34,-4.44,0.87,0.07
0133nit,1-nitrobutane,H9C4N1O2,Nitro,103.1,-3.08,-5.11,1.47,0.12
0134nit,nitrobenzene,H5C6N1O2,Aromatic Nitro,123.1,-4.12,-6.63,1.85,0.05
0135met,2-methyl-1-nitrobenzene,H7C7N1O2,Aromatic Nitro,137.1,-3.59,-6.8,2.3,0.25
0138pro,1-propanethiol,H8C3S1,Sulphured,76.2,-1.05,-3.52,1.81,0.15
0139thi,thiophenol,H6C6S1,Sulphured,110.2,-2.55,-5.99,2.52,0.25
0142die,diethylsulfide,H10C4S1,Sulphured,90.2,-1.43,-4.09,1.95,0.2
0144thi,thioanisole,H8C7S1,Sulphured,124.2,-2.73,-6.47,2.74,0.25
0145pro,allylalcohol,H6C3O1,Alcohol,58.1,-5.08,-5.27,0.17,0.1
0157flu,fluorobenzene,H5C6F1,Halo Aromatic,96.1,-0.78,-3.87,2.27,0.2
0161dic,dichloromethane,H2C1CL2,Halogenated,84.9,-1.36,-3.07,1.25,0.15
0162tri,chloroform,H1C1CL3,Halogenated,119.4,-1.07,-3.81,1.97,0.15
0163chl,chloroethane,H5C2CL1,Halogenated,64.5,-0.63,-2.58,1.43,0.2
0167chla,1-chloropropane,H7C3CL1,Halogenated,78.5,-0.27,-3.06,2.04,0.2
0168chl,2-chloropropane,H7C3CL1,Halogenated,78.5,-0.25,-2.84,1.9,0.2
0174chl,chlorobenzene,H5C6CL1,Halo Aromatic,112.6,-1.12,-5,2.84,0.15
0177bro,bromomethane,H3C1BR1,Halogenated,94.9,-0.82,-2.43,1.19,0.2
0180bro,bromoethane,H5C2BR1,Halogenated,109.0,-0.7,-2.9,1.61,0.2
0182bro,1-bromopropane,H7C3BR1,Halogenated,123.0,-0.56,-3.42,2.1,0.2
0184bro,1-bromobutane,H9C4BR1,Halogenated,137.0,-0.41,-4.16,2.75,0.15
0185bro,1-bromopentane,H11C5BR1,Halogenated,151.0,-0.08,-4.68,3.37,0.25
0186bro,bromobenzene,H5C6BR1,Halo Aromatic,157.0,-1.46,-5.46,2.99,0.15
0225pipa,piperidine,H11C5N1,Amine,85.1,-5.11,-6.27,0.84,0.1
0228met,methylamine,H5C1N1,Amine,31.1,-4.56,-3.78,-0.57,0.1
0236oct,1-octanol,H18C8O1,Alcohol,130.2,-4.09,-8.13,3.07,0.1
0239oct,2-octanone,H16C8O1,Alcohol,128.2,-2.88,-6.38,2.9,0.25
0240met,methylbenzoate,H8C8O2,Aromatic Ester,136.2,-3.91,-7.26,2.2,0.15
0244tet,tetrahydropyran,H10C5O1,Ether,86.1,-3.12,-4.21,0.82,0.2
0245thi,thiophene,H4C4S1,Sulphured,84.1,-1.42,-3.89,1.81,0.2
0246eth,ethylphenylether,H10C8O1,Aromatic Ether,122.2,-2.22,-5.65,2.51,0.2
0417brp,3-bromopropene,H5C3BR1,Halogenated,121.0,-0.86,-3.3,1.79,0.2
0506nit,nitromethane,H3C1N1O2,Nitro,61.0,-3.95,-3.51,-0.33,0.05
n008,benzamide,H7C7N1O1,Aromatic Amine,121.1,-10.9,-11.77,0.64,0.06
n009,2-methylaniline,H9C7N1,Aromatic Amine,107.2,-5.56,-7.36,1.32,0.1
n010,3-methylaniline,H9C7N1,Aromatic Amine,107.2,-5.67,-7.57,1.4,0.05
n011,4-methylaniline,H9C7N1,Aromatic Amine,107.2,-5.55,-7.44,1.39,0.05
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
